"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value","MPA","STATUS_YR","gmw1km"
"1",2005,"25-Dec-05","Pisang Gadang Island","Indonesia",-0.992389,100.342,3,"Bleaching (% of population)",0,"ERG031",7.11,302.895,0,0,0,0.0965999975596787,"Non MPA","Non MPA",NA
"2",2003,"01-Nov-03","Leum Island (Ko Luam)","Thailand",12.9627,100.653,3.9,"Bleaching (% of population)",2,"ERG050",0,302.94,0,0,0,0.0869999978021951,"Non MPA","Non MPA",NA
"3",2006,"13-Nov-06","Hin Luk Bat","Thailand",11.9453,102.283,12,"Bleaching (% of population)",1,"ERG050",3.34,303.5,0,0,0,0.0447999988682568,"Non MPA","Non MPA",NA
"4",2006,"18-Mar-06","Hin Luk Bat","Thailand",11.945,102.287,10,"Bleaching (% of population)",0,"ERG050",1.73,303.46,0,0,0,0.0484234997178327,"Non MPA","Non MPA",NA
"6",2007,"15-Jun-07","Koh Tien/Koh Thain West","Thailand",11.8052,102.379,5,"Bleaching (% of population)",0,"ERG050",1,304.06,0,0,0,0.0497999987419462,"MPA","MPA",NA
"8",2006,"28-Nov-06","Koh Mapring","Thailand",11.7903,102.383,4,"Bleaching (% of population)",3,"ERG050",3.96,304.4,0,0,0,0.0449999988632044,"MPA","MPA",NA
"9",2006,"14-Nov-06","Koh Kra","Thailand",11.7972,102.389,3.6,"Bleaching (% of population)",1,"ERG050",2.56,303.81,0,0,0,0.0449999988632044,"MPA","MPA",NA
"10",2006,"10-Nov-06","Koh Yak Lek","Thailand",11.7839,102.393,7,"Bleaching (% of population)",0,"ERG050",3.22,303.93,0,0,0,0.0449999988632044,"MPA","MPA",NA
"11",2007,"15-Jun-07","Koh Yak","Thailand",11.7874,102.396,4,"Bleaching (% of population)",0,"ERG050",2.18,304.14,0,0,0,0.0355070612499088,"MPA","MPA",NA
"12",2007,"14-Jun-07","Koh Thong Lang","Thailand",11.8185,102.403,3.5,"Bleaching (% of population)",20,"ERG050",1,304.06,0,0,0,0.0721999981760746,"MPA","MPA",NA
"13",2006,"11-Dec-06","Koh Yak Yai","Thailand",11.8203,102.401,3.5,"Bleaching (% of population)",0,"ERG050",7.29,303.51,0,0,0,0.0645999983680667,"MPA","MPA",NA
"14",2006,"10-Nov-06","Koh Thong Lang","Thailand",11.8203,102.402,4,"Bleaching (% of population)",0,"ERG050",2.56,303.81,0,0,0,0.0543999986257404,"MPA","MPA",NA
"15",2006,"27-Nov-06","Koh Lom","Thailand",11.8231,102.447,4.3,"Bleaching (% of population)",0,"ERG050",6.35,304.58,0,0,0,0.0615999984438531,"Non MPA","Non MPA",NA
"16",2006,"19-Mar-06","Ko Bai Dang","Thailand",11.8842,102.455,3,"Bleaching (% of population)",0,"ERG050",1.06,302.73,0,0,0,0.0476192512842642,"Non MPA","Non MPA",NA
"17",2006,"12-Nov-06","Hin Bai Dang","Thailand",11.9011,102.471,7,"Bleaching (% of population)",4,"ERG050",4.38,303.66,0,0,0,0.0545008671813857,"MPA","MPA",NA
"18",2006,"08-Dec-06","Koh Kood","Thailand",11.755,102.544,5.5,"Bleaching (% of population)",0,"ERG050",10.16,304.1,11792,0,0,0.054599998620688,"Non MPA","Non MPA",NA
"19",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,6,"Bleaching (% of population)",4,"ERG049",1.31,301.48,0,0,0,0.0767999980598688,"Non MPA","Non MPA",NA
