"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value"
"1",1,2005,"25-Dec-05","Pisang Gadang Island","Indonesia",-0.992389,100.342,3,"Bleaching (% of population)",0,"ERG031",7.11,302.895,0,0,0,0.0965999975596787
"2",3,2003,"01-Nov-03","Leum Island (Ko Luam)","Thailand",12.9627,100.653,3.9,"Bleaching (% of population)",2,"ERG050",0,302.94,0,0,0,0.0869999978021951
"3",4,2006,"13-Nov-06","Hin Luk Bat","Thailand",11.9453,102.283,12,"Bleaching (% of population)",1,"ERG050",3.34,303.5,0,0,0,0.0447999988682568
"4",5,2006,"18-Mar-06","Hin Luk Bat","Thailand",11.945,102.287,10,"Bleaching (% of population)",0,"ERG050",1.73,303.46,0,0,0,0.0484234997178327
"5",6,2009,"26-Feb-09","Hin Raab South","Thailand",11.9049,102.317,10.7,"Bleaching (% of population)",0,"ERG050",0,300.7,0,0,0,0.0457999988429947
"6",7,2007,"15-Jun-07","Koh Tien/Koh Thain West","Thailand",11.8052,102.379,5,"Bleaching (% of population)",0,"ERG050",1,304.06,0,0,0,0.0497999987419462
"7",8,2008,"10-Jan-08","Koh Tien/Koh Thain West","Thailand",11.8052,102.379,4.5,"Bleaching (% of population)",2,"ERG050",0,301.71,0,0,0,0.0327999991714023
"8",9,2006,"28-Nov-06","Koh Mapring","Thailand",11.7903,102.383,4,"Bleaching (% of population)",3,"ERG050",3.96,304.4,0,0,0,0.0449999988632044
"9",10,2006,"14-Nov-06","Koh Kra","Thailand",11.7972,102.389,3.6,"Bleaching (% of population)",1,"ERG050",2.56,303.81,0,0,0,0.0449999988632044
"10",11,2006,"10-Nov-06","Koh Yak Lek","Thailand",11.7839,102.393,7,"Bleaching (% of population)",0,"ERG050",3.22,303.93,0,0,0,0.0449999988632044
"11",12,2007,"15-Jun-07","Koh Yak","Thailand",11.7874,102.396,4,"Bleaching (% of population)",0,"ERG050",2.18,304.14,0,0,0,0.0355070612499088
"12",13,2007,"14-Jun-07","Koh Thong Lang","Thailand",11.8185,102.403,3.5,"Bleaching (% of population)",20,"ERG050",1,304.06,0,0,0,0.0721999981760746
"13",14,2006,"11-Dec-06","Koh Yak Yai","Thailand",11.8203,102.401,3.5,"Bleaching (% of population)",0,"ERG050",7.29,303.51,0,0,0,0.0645999983680667
"14",15,2006,"10-Nov-06","Koh Thong Lang","Thailand",11.8203,102.402,4,"Bleaching (% of population)",0,"ERG050",2.56,303.81,0,0,0,0.0543999986257404
"15",16,2006,"27-Nov-06","Koh Lom","Thailand",11.8231,102.447,4.3,"Bleaching (% of population)",0,"ERG050",6.35,304.58,0,0,0,0.0615999984438531
